"ID","Sentence","Emotion"
"3778","tôi cũng hao hao vậy tôi hay ôm với riết nó hôn nó xong cảm thán : con chó của mẹ ơi mẹ yêu con… lát sau nó tự nói : nắng là con chó của mẹ…😆 nghe mà giật mình buồn cười nhưng phải vội giải thích nắng là con gái của mẹ chứ không phải con chó của mẹ 😂😂😂","enjoyment"
"3631","văn dũng mặc không bé mua","other"
"3626","mặc ngược rồi con trai cười cười cười cười","enjoyment"
"6058","2 đứa tui ăn như ma đói mà sao ốm nhom zậy ta🥹","other"
"5747","điện thoại văng ra kia chắc nhìn dt k để ý à","other"
"395","chọn nhiều nhưng chất lượng ra sao mối quan trọng các trường miền bắc vẫn là nơi lấy điểm chuẩn cao nhất cả nước","other"
"3401","khánh linh đẹp vãi lồn","enjoyment"
"7354","hao vu phd electrical engineering viết dc k","other"
"6610","lạc bỉnh nhơn lấy cho tui cái địa chỉ tui dẫn con cảnh đi giao lưu chút với rân anh chị","other"
"3719","hoàng thái nguyên 🤣","enjoyment"
"5908","nhìn thương e thế","other"
"1514","xin dâng hiến hoà vẩu qua u cà múa lửa cho binh lính xem","disgust"
"1393","hong nhung c tưởng m m7 chứ 😆","enjoyment"
"892","hóng lên phường","disgust"
"3356","trời ơi dữ vậy sao","surprise"
"599","có khi nào là ai","other"
"2871","kiếp sau làm cái cây sống trong rừng sâu ko gặp ai hết cái hết khổ luôn","sadness"
"2589","lắp nhầm công tắc tí thôi mà","other"
"2749","vất vả đến nỗi không có thời gian dành cho người yêu luôn ấy🙃","sadness"
"4147","từ đó nó lm con ruột còn t lm con ghẻ🥹 bt thế nghe lời mẹ","sadness"
"4005","thương quá áp lực của con người…","sadness"
"2460","đàn ông mua bia với đàn bà mua sầu riêng khác gì nhau sao phải bảo 300k ăn mấy bữa thế 400k k ăn mấy bữa ah đời hài thật","disgust"
"1994","anh nguyen hmm con nhà em có như thế ko :)))","other"
"5175","yến phương ôn lại kỷ niệm khum","other"
"6612","con sen kiểu muốn thả lắm mà ko đc❤️❤️","sadness"
"4236","suốt ngày bon ơi bo ơi có bao giờ thấy kêu gái rượu đâu mà","other"
"4928","đỗ tiến minh bruh","other"
"4175","ba mẹ tao còn thương nó hơn tao nx ÷)","enjoyment"
"2614","cháu đạt dăn tây chắc luôn","other"
"1343","hâm nóng chứ hâm là cái beep j :))))","enjoyment"
"613","linh ngọc làm thịt mèo thôi","anger"
"4439","bạn này chắc dùng thuốc tránh thai nhiều quá","other"
"3946","vũ anh minh :))","other"
"5774","đầu nát bet sao sống nổi 🥶🥶","fear"
"4182","hâh dễ thưnn xỉuuu😆","enjoyment"
"5338","thế mà tiền học các cháu chậm đóng chả thấy quên bao giờ","disgust"
"1841","làm mấy cái vid lên bản đớp thôi thì kcũng thích đu với mấy bọn dưới xuôi","other"
"4918","đức vũ bruh:))","other"
"2866","đúng bởi vậy phụ nữ đừng lấy chồng","other"
"5819","xe phân khối lớn mà lao nhanh ko phanh kịp mô phật","other"
"4651","có vụn vỡ chồng mình cũng thích tâm sự với vợ người ta lấy vợ cho có với người ta thôivợ thiên hạ vẫn là thử gì đó tốt hơn con điên ở nhà 😏","disgust"
"5516","sóc âyy dễ thương y hệt bé nè 😆","enjoyment"
"2996","phạm thị bích viên đúng người ghê 😂","enjoyment"
"3361","giống vậy ta vợ anh thật ý đây","other"
"5919","mèo said: cho miếng coiiii","enjoyment"
"2821","xin lỗi chứ lấy vk tôi ko chọn cô vợ trẻ nhưng nghèo không bằng cấp nhé nếu xinh ngoan thì còn suy nghĩ tạm mà gái xinh thì cũng ko nhiều nên đa phần phụ nữ nhà ko giàu nhan sắc ko nổi bật cũng phải cày quốc để tìm đk người ck ổn áp thôi thanh mới chẳng xuân của đứa nào cũng ngắn thôi","disgust"
"6830","thương quá nhưng con rất bản lĩnh tụ tin","enjoyment"
"6231","ánh nắng phía cuối chân trời:))","enjoyment"
"6758","sau lần thi này sống nội tâm hết phần đời còn lại mất 😅","enjoyment"
"1305","hướng nội chứ có bị khùng đâu","other"
"2869","nói ra làm gì chuẩn bị chị em vào kêu phụ nữ vất vả hơn gấp ngàn lần rồi là đàn ông toàn thằng vô trách nhiệm bla bla","anger"
"6977","giảm sức mạnh con tướng này giúp tôi","other"
"2901","vậy đàn ông tự lấy nhau đi cho khỏe 😊","disgust"
"1690","thủy phạm oách ko kkk","enjoyment"
"2559","một con sứa bựuu amber heard còn làm được thì ông này không sao đâu","other"
"4013","vừa đáng yêu vừa thấy thương","sadness"
"4355","xin được cv gdv vrb cn hcmcầu xin manifest được vào nam và thực hiện ước mơ trên","other"
"425","vũ đình thắng chỗ gần đối diện nhà e này😭","sadness"
"7419","lê quang trường nếu m thắc mắc tại sao học tiếng anh mà t khóc thì đây","other"
"6749","vẫn có quần trong may quá","enjoyment"
"4096","nhìn mà thương áp lực lắm","sadness"
"2519","tem ăn sầu riêng chín cây ib em nhé 😁😁","other"
"6756","cuộc thi sao áp lực quá","sadness"
"7230","diện tích thì nghe nhỏ nhưng giá tiền đất thì ngược lại :)))","disgust"
"6519","nhìn mặt láo vl🤣","anger"
"1223","cũng cũng đang yêu gê 🥹🥹","enjoyment"
"4449","xin phép bác cho em chia sẻ video của bác nhé","other"
"6486","thả ra đi coi sát thương không biết liền 🤣","other"
"7098","đã yêu là phải đưa pháo anh lên đồi cao","other"
"3376","anh ơi em giấu cười mà chẳng được gần anh","sadness"
"3390","uyên nhi ba nhớ nụ cười của mẹ","sadness"
"5533","ng tuyet vyy dthw hé giống m kìa =)))","enjoyment"
"10","nguyễn đình thái đời mày đi học chắc ngồi đài sen ko nói xấu thầy cô giáo hay mày dám chửi thầy cô trước mặt 🤡 nào xàm l nữa đi","anger"
"3038","tôi đã bắt cóc con chuột trong ảnh và đây là kết cục của nó sau đó :","other"
"692","cuoi vai lon","enjoyment"
"6208","khi cần k thấy khi không cần thì lú mặt ra","anger"
"2222","cưng thế ❤️","enjoyment"
"3586","nguyên nam anh qua 1 trận ốm kịch liệt tôi được tổng tài tỏ tình)","enjoyment"
"1425","đến để tổ hợp gen trội nhà chồng thành gen lặn","other"
"1998","đcmm cất cái sổ đỏ đi","fear"
"4110","tại gàu nhiều gây ngứa","other"
"6997","tình yêu mà thiếu td thì lục đục hoài","disgust"
"540","cặp đôi chuyển sinh vào loài mèo :)))","enjoyment"
"2129","phập phập ngọcc ánhh bé bentoo ngủ ngoann :))","other"
"7084","hoài phương ngửi mùi bom cũng thấy thich thú","enjoyment"
"6385","yếnn nhii sợ lắm hả:))","other"
"5999","nguyễn thiện trung điển hình đôi chun 😂","enjoyment"
"181","trần diệu huyền đùa à m","anger"
"1500","người ta chữa tận singapore đó biết gì còn mua nhà mua xe trả nợ nữa chứ bộ🤒","disgust"
"7115","cảm ơn vì cho t biết t k cô đơn","enjoyment"
"1268","không cần màu mè cầu kỳ hoa mỹ sang trọng chỉ cần bên cạnh nhau và cảm thấy vui vẻ hạnh phúc chúc 2 em sẽ luôn hạnh phúc vui vẻ như vậy","enjoyment"
"6785","bé rất tự tin và bản lĩnh đấy khả năng sau này là người thành công rất cao👏👏👏","enjoyment"
"5795","nếu tất cả đều đi chậm có sảy ra tai nạn cũng nhẹ nhàng nam mô địa tạng vương bồ tát","other"
"4271","không có cãi nhau xong rồi thì cứ vậy thôi làm hoà thì có mà hiểu hay kh thì kh có biết🗿","other"
"3720","thu hiền 🤣🤣🤣","enjoyment"
"2283","em chỉ muốn mãi là em bé trong nhà được cưng chiều thôi đó","enjoyment"
"5938","t lấy nhau dk 6 năm ui mà t thì gần tạ con ck tki chưa tới 50🤣","enjoyment"
"4927","dieu chinh hiep vcl","surprise"
"4493","thật là nguy hại bây giờ cái gì cũng giả","fear"
"3037","cưới xong không biết cô dâu còn tồn tại không 🤣🤣","fear"
"7495","thường ra quân thì chỉ bắt thằng to thôi chứ ko bắt cò con bị truy thu thuế chứng tỏ cực kỳ lãi","disgust"
"2525","tự nhiên muốn chửi muốn cãi lộn thế đọc xong tức điên cả người","anger"
"2541","riêng cái tội viết hoa tất tần tật tin nhắn với vợ là đủ cho ra chuồng gà rồi có quả sầu riêng k mua nổi cho vợ 🙇🏻‍♀️","anger"
"3969","có chấy chắc luôn","other"
"4606","chu thanh thủy :3","enjoyment"
"989","nguyễn ngọc sơn thấy giống dợ hum 🤣🤣","enjoyment"
"615","eo giống người z tr phạm vinh","surprise"
"6536","đã màu cam rồi còn bị hô nữa","disgust"
"7358","khanh vy nguyễn quả báo đến rồi vô thi gặp bài này khóc có thể là tới cuối giờ","sadness"
"7587","doanh thu với lợi nhuận khác nhau hoàn toàn ai học kinh tế đều biết","other"
"174","nguyễn văn tú mồm m ít có ác","other"
"4616","khi nó nghèo nó thảo với mình lắmcòn khi nó có tiền rủng rỉnh hánó có hiếu với bạn bè anh em nó ko à 😃😃😃 nên đời ko biết đâu mà lần hahaa","disgust"
"3750","tôi cũng gọi con tôi là “chó con yêu của mẹ” rồi nó gọi tôi là “chó mẹ yêu của con” 😂😂😂","enjoyment"
"2704","tú thanh má 0h nằm cừi bệnh mà không dám cừi ra tiếng lun","enjoyment"
"2666","nó cũng thiên tài đấy mới nghĩ ra đc mấy kết cấu kiểu này á 🤣","enjoyment"
"6418","không đem theo chai nút lá chuối thì ngại là đúng rồi :d","enjoyment"
"4580","phan thanh nhã xinhhhh","enjoyment"
"1911","gỡ che lượt mua báo thuế bớt lại 🤣🤣","other"
"2811","nếu người đàn ông vì sợ làm khổ người con gái vì mình chưa có sự nghiệp là vì họ không dám cố gắng tôi lấy anh xã khi trong tay anh ấy chỉ có 1 tấm bằng để đủ tiền cưới và đủ tiền với yêu cầu của ba mẹ tôi anh ấy đã làm 3 job mỗi ngày chạy từ quận 1 về quận 2 rồi lại chạy từ quận 2 lên quận 1 mà vẫn đủ thời gian cà phê và chở tôi đi dạo người phụ nữ chỉ cần nhìn thấy sự cố gắng vì người mình yêu như thế đàn ông gánh nặng cha mẹ thì phụ nữ không gánh à đàn ông bị stress cv để được sự nghiệp thì phụ nữ không bị stress sao đàn ông cực khổ hơn phụ nữ vì họ sĩ diện hơn phụ nữ họ khổ vì nghĩ xem người khác sẽ suy nghĩ gì về họ chứ không phải họ cố gắng vì để gia đình cùng tiến lên","other"
"3997","xin tên bài hát ạ","other"
"5940","ny tui từ 65kg lên 76kg 🤣 còn tui từ 44kg lên 49kg giải cứu chính mình th","other"
"6188","chắc vẫn nấu cơm bằng bếp điện","other"
"7498","ngày làm đc 200k thuế hết mẹ rùi còn đâu các ông ngồi điều hòa nghĩ ra lắm loại thuế thế phải nộp thuế là đúng nhưng phải phù hợp với dân","anger"
"3562","kim ngọc ê nha","other"
"1236","cưng dữ chời :)))","enjoyment"
"230","trại giam chí hoà hân hạnh chào đón chị 😂😂😂","enjoyment"
"6097","duy anh lên ký vù vù🤣🤣","enjoyment"
"2334","cún nhà tôi sinh lần thứ 6 rồi tổng cộng là 54 đứa cháu nhưng xuốt ngày bắt tôi massage bụng đấy","enjoyment"
"3761","con gái tôi tôi gọi nó là con chó con của mẹ nó nói lại liền con là con chó con ông là con chó ông bà là con chó bà bố là con chó bố mẹ là con chó mẹ anh là con chó anh cả nhà mình là chó mẹ nhé","enjoyment"
"5865","bé mèo cưng quá","enjoyment"
"4431","phương mabel đào giang này cứ thức khuya xem vd của chú ý đi","other"
"1134","vừa xem vừa cười vừa phái phái hahahà lý","enjoyment"
"3358","nguyễn thị hải yến đúng là rất đẹp😊😊","enjoyment"
"2856","đàn ông thất bại mới phải hơn thua với đàn bà còn đàn bà ko được ck chia sẻ việc con cái mới phải hơn thua với đàn ông","disgust"
"565","mặt t mù r nhưng vẫn thấy đc","other"
"334","ho ngoc nghề này h hot 🤣🤣🤣","enjoyment"
"1244","ai thấy 2 đứa này đáng ghét như tui ko coi mà cười từ đầu đến cuối lunn","disgust"
"3909","nhớ em nhiều","enjoyment"
"2047","má con chó mà sen nào cũng thèm","enjoyment"
"3939","ngọt như glucozo","other"
"6463","biết sao bị xích lại rồi đó","other"
"2238","y chang bé bông nhà mình🤣","enjoyment"
"4409","nhất định phải đỗ thpt chuyên nguyễn du lớp chuyên hoá 🍀 nhất định phải đỗ thpt chuyên nguyễn du lớp chuyên hoá 🍀 nhất định phải đỗ thpt chuyên nguyễn du lớp chuyên hoá 🍀 điều quan trọng nhắc lại 3 lần","enjoyment"
"2343","thanh hiển trần thùy trang nhà mình cũng có 1 e bé hiểu chuyện y xì đúc","other"
"4512","uống cho sướng cái miệng đã bs nờ đến khi biết thì muộn rồi","disgust"
"6923","anh gì chồng mà 😁","enjoyment"
"6675","đúng gòi đó bị bố mẹ bắt cóc)","enjoyment"
"36","cười cười cl mất dại","anger"
"5453","tuyệt vời đập chết thằng làm chó cho mẽo","enjoyment"
"1189","ảnh cầu hôn tui bất ngờ ảnh bất ngờ anh quay video kiểu : làm lại đi để anh đổi góc :))))) đình tâm","other"
"4219","khánh linh mua con này đi bà🥲","other"
"7531","mức thu nhập thì thấp mà đánh thuế cao thì dân lấy đâu ra tiền🙂 đúng là bắt buộc phải đóng thuế nhưng phải cho giá trị bn chứ","other"
"2358","kẻ thứ ba mang bầu mà dám ngang nhiên hờn dỗi ck người khác","anger"
"4230","pretty little babyy🥺🤍","enjoyment"
"931","quá rủi ro để tag anh nhà vào 🤣","enjoyment"
"6859","sau vụ này nhóc này thề cả đời ko mặc quần chun nữa 😵‍💫😵‍💫🐧🐧","other"
"767","chuyến này đi xa","enjoyment"
"999","quỳnh như emm nè","other"
"2412","mình đi làm cả tháng sao mua trái sầu 300k mà phải đợi ck đồng ý trong khi đó chỉ bằng số tiền anh ta nhậu 1 lần","disgust"
"4832","sim chia buồn cùng gd 😭 cầu cho lĩnh hồn vong linh sớm được siêu thoát về nơi cực lạc 😭😭😭 nam mô a di đà phật 😭😭😭🙏🙏🙏","sadness"
"4270","giữ người biết thay đổi để hoàn thiện đừng giữ người ngựa quen dg cũ","other"
"6212","h t không đi tìm cccd r nó tự xuất hiện dc k","other"
"597","ngô châu eichar rythei đcm:)))","anger"
"2177","số đông là ai thế hả ông ơi","other"
"3423","huỳnh tú 😁🩷🩷","enjoyment"
"1581","êk tự cho à nha ng ta kêu gọi quyên góp ngu gửi vô chi r giờ la làng ng ta xin cho thì mất chứ k có nói tới nói lui à ngu thì chịu chứ kêu la gì","anger"
"1213","chính vì câu b nữ nói quán này hok đẹp nên bạn nam bị khựng lại liền đó gặp t là bạn nam t cũg bị khựng","other"
"4049","chấy chắc luôn càng gãi càng nóng máu😁😁","enjoyment"
"4971","đặc công định vị","other"
"3751","cho nó coi hình 2 mẹ con chụp filter tai chó 2 đứa mình giống chó quá mẹ ha :)","enjoyment"
"5187","chu thị hồng ngọc eo ơi nhìn ng ta hạnh phúc nèee","enjoyment"
"4562","kiều chinh vào mà nghe nhé","other"
"2401","bất tài lại đổ cho vk tiêu hoang may lắm mới khui phải síc rịt như này","anger"
"5717","tụi bị póng:)))","other"
"6336","mong thế giới này hòa bình","other"
"1892","các tiktoker lúc này bán cháy hàng hết trên trang ko còn giỏ hàng ko còn sp nào cả🐧🐧🐧","disgust"
"3712","đỗ thùy linh anh thích quần con voi 😄😄","enjoyment"
"3736","mình thì hello con yêu con mình “ hello con mẹ” 🙂","other"
"4563","nghe lời sếp là trời yên biển lặng 🤗 nhất là điều cuối cùng nha mấy mom 😙","enjoyment"
"2890","đàn ông thì phải say rất nhiều lần còn đàn bà thì 😂😂","other"
"3191","trịnh thùy vân 😃 địt mẹ ai cũng vậy hay sao ý","anger"
"5525","thanh sơnnhis hí","other"
"167","rắn gọi bằng cụ tổ","disgust"
"1761","công bằng ở đâu luật pháp ở đâu","anger"
"961","kiểu này chắt ck con khỏi ngủ","enjoyment"
"4192","ngồi ngoan tắm 😙 cưng thế 😆😘","enjoyment"
"5311","thành tâm ek xin vía ạ","other"
"1194","thực ra thì bọn con gái tụi tui miễn là có cầu hôn thì y như rằng cuộc tình đó nó thật là nãng mạn hết chỗ nói luônchỗ đó đẹp hay không cũng ko là vde gì hết trơn ko cầu hôn cũng ko sao thật luộn nhưng chắc chắn bọn tui sẽ nhớ chuyện a ta ko cầu hôn và nhắc chuyện đó với a ta cho đến khi già","other"
"3679","công cơ cấu mặc không em mua cho 😂","enjoyment"
"3651","linh đặng mày hiểu ý tao chứ 🤣🤣🤣","enjoyment"
"93","triệu mai quên cái mỏ m cẩn thận","other"
"2255","yêu em ❤️❤️❤️","enjoyment"
"1632","chúc thầy cô luôn mạnh khoẻ","other"
"6209","tao ngừng lâu rồi mà nó ko đếncó khi nó cũng ngừng tìm","other"
"3922","quá nhíu em nhờ:))","enjoyment"
"7561","8 năm không đóng thuế","other"
"5183","cầu hôn xong r về thôi rạp hết xuất chiếu rồi 😆😆","enjoyment"
"1329","ăn hiếp hướng nội :))","disgust"
"4425","bác sĩ cho xin địa chỉ phòng khám của bác sĩ","other"
"2785","trên đời chỉ những người sống vô trách nhiệm mới nhàn dỗi không phân biệt nam nữ🫥","other"
"6824","quần tụt ko quan trọng bằng giải thưởng mang về","enjoyment"
"6606","ý là t thấy buồn cười chứ ko thấy sợ","enjoyment"
"860","mấy th l\\\\\\\\ vừa đi vừa hút thuốc vừa khạc nhổ","disgust"
"2832","đã sinh ra trên đời chả thằng nào sướng cả","sadness"
"3792","rồi thành chó mẹ và chó con cười cười","enjoyment"
"4205","cái đấy giống như kiểu mình chê chất kích thích á (tòa chơi tòa mới hiểu)","other"
"7267","hoàng văn thạnh nhà công năng dữ chưa","enjoyment"
"638","nguyễn thiên danh giống ai đó ghê haa","enjoyment"
"7103","thùy nguyễn ❤️😁😁","enjoyment"
"2862","vào đây toàn thẩm du tinh thần nói xấu phụ nữ hản🤣🤣🤣","disgust"
"2931","ngọc thúy cười chết 🥰🤣","enjoyment"
"6217","biến giùm t cái","anger"
"1355",":))) cả nhà chồng phải cúi xuống nhìn con dâu","enjoyment"
"4465","bs cho em hỏi là bác có khám cho bạn nam ko ạ","other"
"877","đi oto mà dùng ip3 mạng 3g chịu rui","disgust"
"1040","tnh tr ngoc hieu để anh mua cái mão phi tần đội gọi vứi em he","enjoyment"
"1014","nguyễn trần ngọc sơn s khùng điên giống e quá dị thơn😂😂😂","enjoyment"
"7278","kts nguyễn chí nguyễn lương chí tuyệt đỉnh thiết kế nè","enjoyment"
"3811","con mình đi học ko bao jo chịu đi ẻnó kiu là con chỉ đi tè thoaiđể dành cuc cho mẹđể cho mẹ thúi =))))","enjoyment"
"2570","chị lan đau hết cả bụng","sadness"
"2483","li dị còn kịp chị ơi để con theo họ mình","anger"
"1063","bảo bảo s nó lại trông như thế này","surprise"
"5579","duyệt duyệt duyệt duyệt","other"
"5891","làm chú chủ của tôi hơi lâu rồi đấy","other"
"4884","tự luyến thôi chứ ko gay","other"
"1684","còii vãi chưa","surprise"
"4229","minh thúy nhà m à =))","other"
"3936","bùi thị kim ngân hốt đổ mỏ liền","other"
"6680","ma tập sự nhớ ngen chưa y như m","other"
"4949","vậy thiệt thòi con trai quácon gái nói dối con trai chịu chết oy","other"
"4403","mnf đỗ nv1🍀🍀","enjoyment"
"6121","này dc nè 🤣🤣 hy quach","other"
"3635","quốc anh sắm cho anh người yêu cái nhé","other"
"1568","thật sự là cạn lời với những người như thế này ban đầu kêu gọi lòng thương của mọi người hứa hẹn đủ điều đến khi có tiền rồi thì lại tiêu xài hoang phí quay lưng với ân nhân giờ thì lại giở giọng trách móc block người ta tiền bạc đúng là làm thay đổi con người ta thật","other"
"7434","ng phương linh nè bà=))","other"
"4520","các cháu thế giới trẻ cần xem","other"
"1170","tui thấy kiểu này ổn lắm nha k ồn ào chỉ hai đưaa nhưng mà dễ thươngtui ước được như thế 🥰🥰","enjoyment"
"148","thùy dung gì","other"
"757","chắc mẽo đang giãy chết chứ gì tao đã hạ được tiêm kích của nó rồituyên láo","disgust"
"1461","t nè ck m8 t m5 nấu cơm dơ cái nách tới trời rửa chén úp lên ướt hết nách🤣🤣","sadness"
"5528","đừng quay lưng là đc","other"
"1961","dạo này nhiều người lặng lẽ gỡ hàng quá","other"
"1436","huyền trang🤣","enjoyment"
"2727","đàn nào chả vất vả nếu có trách nhiệm đàn ông vất vả sự nghiệp thì đàn bà vừa phải lo cả gia đình lẫn sự nghiệp việc mang thai ko hề nhàn sai lầm là cả đời mang bệnh","other"
"108","vũ hoàng phương thảo ko tag ko dính đâu :))))) đã tag là quay ko trượt phát nào","enjoyment"
"3818","t dạy con gái t yêu thương động vật rồi nó cũng bảo với t là “con yêu mẹ như yêu một con chó mẹ đáng yêu như chó vậy 🙂”","enjoyment"
"7485","bán nhà đi để đóng chứ bán cơm 7 năm k biết có dư được 1 tỷ k nữa","disgust"
"3615","thanh ngoan em mua cho anh rồi anh mặc đi chơi với em nghe","enjoyment"
"3024","cưới xong nhà trai thông báo cô dâu mất tích trong đêm🤣🤣🤣","other"
"5056","eo ơi dễ thương chết đi được íiiiiiiii","enjoyment"
"2914","hết bài luôn à","other"
"5120","de thuong quaaaaaa","enjoyment"
"3095","đoan đoan ngày dỗi 5 lần là bằng bà này luôn nè😂","other"
"4934","nhiều khi nghĩ mình thính như 🐶 vậy","other"
"3550","tự dưng đứa báo nhất nghỉ ở nhà thì chả yêu","enjoyment"
"1451","phan hải my 😆","enjoyment"
"6382","văn dũng híhí lần đầu vào cũng ngại lứm 💁💁","enjoyment"
"6722","chiến thuật cả đấy","enjoyment"
"6451","thanh hoa quân thé ak","surprise"
"1487","không phải phá gen mà là bù trừ cho nhau đó chài 🤣","enjoyment"
"3382","ánh mắt em ạ","other"
"5032","kiểu tui biết tỏng mà xem thái độ r ms bắt nhé","other"
"4062","giống t quá rối não 😀","other"
"3312","đào lửa thì nên nỗ lực nha","disgust"
"1479","nguyen thi mai m5 lấy thằng nào m51 thôi","other"
"3730","con tôi cũng vậy “cafe là con chó con của mẹ “ nó trả lời “mẹ là con chó mẹ ba là con chó ba còn bà cố là con chó già” 🌝🌝🌝","enjoyment"
"6692","thật ngộ nha","other"
"3179","thơ dương bà có vậy không","other"
"1394","minhh hạnhh real","surprise"
"261","từ ngày mai là học thuộc bài đi : bị cáo biết rằng","other"
"3995","sao fb ko làm chế độ thả 2 icon để t thả 1 cái haha 1 cái thương thương 🤣🤣🤣","enjoyment"
"3355","người vừa chia tay xong xem cái này","sadness"
"5986","chồng t 1 năm tăng 15 kg 🤣","enjoyment"
"2939","thua chuột mèo rồi 😭🤣 vui zin","other"
"1573","kh phải người nổi tiếng bả thuê 1căn rì sọt ở đâu lòng vòng trên núi sống hết đời vẫn chưa hết 16tỏi","other"
"5327","thì là sự nỗ lực của emm","other"
"5517","tuấn anh miu🐮🐮","other"
"4105","ai cứu vớt cuộc đời tuii zớiii🫠","sadness"
"2809","tuyệt vờilà người đàn ông phải biết nghĩ cho người pncho gđ","disgust"
"3919","thiết trần em cũng chẳng biết","other"
"3217","mình lên tiktok lâu lâu lại thấy clip ba má của chị này ngày ngày đấu tranh cho chị nhìn người cha cũng trạc tuổi cha mình mà nước mắt cứ chảy đó là mỗi ngày kêu oan đòi công bằng cho con gái ruột là những bữa cơm chan nước mắt là những lời thủ thỉ của bác gái con nó mất rồi để cho con an nghỉ đi ông nhưng bác trai vẫn không và bảo đây là con gái tôi người đàn ông tuổi phải được hưởng phước con cháu quay mặt đi nhấp ly rượu vừa uống vừa lau đi nước mắt nó xót xa vô cùng là người ngoài mình đã biết vụ này khá lâu rồi nhưng rất bất ngờ khi cả gia đình vẫn cố gắng tìm công lý cho chị hy vọng có điều gì đó tốt đẹp tới với gia đình","sadness"
"3578","bà chủ tương lai😇","enjoyment"
"7071","ý là ngth ngọchuyền","other"
"6273","khổ bắt đầu từ đây :))","other"
"6743","hên là nó còn cái quần con không thì🤣🤣🤣🤣","surprise"
"5760","chạy để dắt vào đuoo xe kiểu này chỉ có chạy ngu mắt trưng cho vui :))","other"
"1364","trung minh kkkk","enjoyment"
"1971","ai như t ghét thằng này ko 😆cái mồm ăn cả thiên hạ nói chuyện thì vô duyên vch","anger"
"7256","quan trọng là biết sắp xếp nội thất nữa á mn nhà mình diện tích cũng bằng nhà người ta mà ba mẹ toàn dùng đồ gỗ cỡ lớn rồi nhà chật ních k có chỗ đi luôn 🙂","disgust"
"2026","manh quang hôm nay m khôn thế","enjoyment"
"6979","oke anh liền","enjoyment"
"2681",":)) ko biết ns j","other"
"7128","t đó…mỗi khi con chó nhà t thấy t ăn hvl nó mừng quắn đít","enjoyment"
"262","long buddy ngọc trâm lê vài bữa đi theo chị thu luôn","fear"
"5230","vừa lòng tao lắm","enjoyment"
"2923","chú rể liếm mép hơi nhiều chắc mót động phòng lắm rồi🤣🤣","enjoyment"
"3723","nguyễn anh thái :))","enjoyment"
"159","loại này vứt","disgust"
"1862","thế lòng nó báo","other"
"6242","thiệt y xì luôn t nói bữa đó giật mình luôn 🫣","surprise"
"6520","mèo camko làm chúng ta thất dọng 😂😂","enjoyment"
"5937","y chang ck tui giờ mập có bụng phệ r 😁 vk hay con ko ăn hết là ck tui ăn hết ổng nói thừa là con với vk kén ăn","enjoyment"
"7021","vãi chỉ biet tình dục bởi v đàn ông chưa bao giờ yêu mình chỉ yeu khi cho họ qhtd","anger"
"5106","cute lắm nma cho xin dấu hiệu để mặc đẹp nhé :))) quang minh","enjoyment"
"4657","chắc kiếp sau mới mong gặp đc người như vậy","other"
"369","công ty thương nhân viên ghêra tù k lo thất nghiệp","enjoyment"
"1801","có cái nồn nhé","anger"
"5053","long nguyen con gái bận áo dây nằm thì 100% dây áo sẽ tụt nhé việc này rất vô duyên nên mình ko nên áp cái suy nghĩ của mình lên 1 chi nhỏ mà nghĩ ngkh v","disgust"
"2711","đỗ mai hương sau cần sửa cái j cứ bảo tớ nhé ꉂ (´∀｀)ʱªʱªʱª","other"
